epoch,train_loss,val_loss,val_auc,val_pr_auc,best_epoch,patience_count
1,0.4948812223020903,0.6935994146700456,0.7858875346260389,0.8887731667927531,1,0
2,0.3901441861836674,0.6171143986585346,0.9237163434903046,0.9602591015253358,2,0
3,0.34707359819435774,0.5340287915895179,0.9874980609418282,0.993798238243119,3,0
4,0.31197741432069453,0.42554772107368816,0.9943734072022161,0.9983655526470482,4,0
5,0.2679532127362367,0.27757142975343674,0.9942997229916898,0.9983503848818311,4,1
6,0.21988951508091037,0.16869341254160317,0.9938016620498616,0.9981894949520289,4,2
7,0.17071678113130648,0.16862545068555557,0.9940908587257618,0.9981653512493036,4,3
8,0.12379631331726593,0.10824326540948737,0.9943180055401662,0.9981575444328157,4,4
9,0.09507009331726626,0.11197955438359637,0.9945157894736842,0.9982571975124122,9,0
10,0.07207049681736638,0.122131711222384,0.9954648199445983,0.9985843597315756,10,0
11,0.05477153497736986,0.1686907070235093,0.9954182825484764,0.998535501928396,10,1
12,0.04227362995555572,0.20494966872133577,0.9954210526315789,0.998511464490306,10,2
13,0.034563693207924774,0.24979758832411764,0.9947135734072022,0.9982856431904963,10,3
14,0.03097348842599989,0.3177905258630685,0.9941074792243767,0.9977959032161856,10,4
15,0.030039105421533218,0.27242747274782997,0.994982271468144,0.9983773301138614,10,5
